district_name,region
Meerut,Western UP
Ghaziabad,Western UP
Gautam Buddha Nagar,Western UP
Bulandshahr,Western UP
Hapur,Western UP
Baghpat,Western UP
Shamli,Western UP
Muzaffarnagar,Western UP
Saharanpur,Western UP
Bijnor,Western UP
Moradabad,Western UP
Rampur,Western UP
Amroha,Western UP
Sambhal,Western UP
Lucknow,Central UP
Kanpur Nagar,Central UP
Kanpur Dehat,Central UP
Unnao,Central UP
Hardoi,Central UP
Sitapur,Central UP
Lakhimpur Kheri,Central UP
Pilibhit,Central UP
Shahjahanpur,Central UP
Bareilly,Central UP
Budaun,Central UP
Farrukhabad,Central UP
Etawah,Central UP
Auraiya,Central UP
Kannauj,Central UP
Varanasi,Eastern UP
Allahabad,Eastern UP
Ghazipur,Eastern UP
Ballia,Eastern UP
Mau,Eastern UP
Azamgarh,Eastern UP
Jaunpur,Eastern UP
Sultanpur,Eastern UP
Pratapgarh,Eastern UP
Amethi,Eastern UP
Raebareli,Eastern UP
Barabanki,Eastern UP
Ambedkar Nagar,Eastern UP
Faizabad,Eastern UP
Gonda,Eastern UP
Bahraich,Eastern UP
Gorakhpur,Eastern UP
Maharajganj,Eastern UP
Kushinagar,Eastern UP
Deoria,Eastern UP
Basti,Eastern UP
Sant Kabir Nagar,Eastern UP
Siddharthnagar,Eastern UP
Balrampur,Eastern UP
Shravasti,Eastern UP
Jhansi,Bundelkhand
Lalitpur,Bundelkhand
Jalaun,Bundelkhand
Mahoba,Bundelkhand
Hamirpur,Bundelkhand
Banda,Bundelkhand
Chitrakoot,Bundelkhand
Agra,Western UP
Aligarh,Western UP
Mathura,Western UP
Firozabad,Western UP
Mainpuri,Western UP
Etah,Western UP
Hathras,Western UP
Kasganj,Western UP
Mirzapur,Eastern UP
Sonbhadra,Eastern UP
Chandauli,Eastern UP
Bhadohi,Eastern UP
Kaushambi,Eastern UP
Fatehpur,Central UP
