crop_name,crop_name_hindi,season,ph_min,ph_max,nitrogen_min,nitrogen_max,phosphorus_min,phosphorus_max,potassium_min,potassium_max,soil_types,water_needs,duration,yield_min,yield_max,suitable_regions
Wheat,गेहूं,Rabi,6.0,7.5,40,80,30,60,30,60,"Loamy,Clay,Alluvial",Medium,120-150 days,40,50,"Western UP,Central UP,Eastern UP"
Rice,धान,Kharif,5.5,7.0,80,120,40,60,40,60,"Clay,Loamy,Alluvial",High,120-140 days,50,60,"Eastern UP,Central UP"
Sugarcane,गन्ना,Year-round,6.5,7.5,100,150,50,80,60,100,"Loamy,Clay,Alluvial",High,10-12 months,600,800,"Western UP,Central UP,Eastern UP"
Potato,आलू,Rabi,5.5,6.5,60,100,50,80,80,120,"Loamy,Sandy",Medium,90-120 days,200,250,"Western UP,Central UP"
Mustard,सरसों,Rabi,6.0,7.5,40,60,30,40,20,40,"Loamy,Sandy,Alluvial",Low,90-110 days,12,18,"Western UP,Central UP,Eastern UP"
Maize,मक्का,Kharif,5.5,7.0,60,100,40,60,30,50,"Loamy,Sandy,Alluvial",Medium,90-110 days,40,50,"Western UP,Central UP,Eastern UP"
Pearl Millet,बाजरा,Kharif,6.0,7.5,40,60,30,40,20,40,"Sandy,Loamy",Low,75-90 days,20,25,"Western UP,Bundelkhand"
Arhar,अरहर,Kharif,6.0,7.5,20,40,40,60,20,40,"Loamy,Clay,Alluvial",Low,150-180 days,15,20,"Bundelkhand,Eastern UP,Central UP"
Chickpea,चना,Rabi,6.0,7.5,20,40,40,60,30,50,"Loamy,Clay,Black",Low,120-140 days,15,20,"Bundelkhand,Central UP,Western UP"
Soybean,सोयाबीन,Kharif,6.0,7.0,30,50,50,70,30,50,"Loamy,Clay,Black",Medium,90-120 days,25,30,"Bundelkhand,Central UP"
Groundnut,मूंगफली,Kharif,6.0,7.0,25,40,50,70,50,75,"Sandy,Loamy",Medium,100-120 days,20,25,"Bundelkhand,Eastern UP"
Cotton,कपास,Kharif,6.0,7.5,60,100,40,60,40,60,"Black,Alluvial,Loamy",Medium,150-180 days,20,25,"Bundelkhand,Western UP"
Barley,जौ,Rabi,6.5,7.8,40,60,30,50,25,45,"Loamy,Sandy,Alluvial",Low,120-140 days,35,45,"Western UP,Central UP"
Sunflower,सूरजमुखी,Rabi,6.0,7.5,60,80,50,70,60,90,"Loamy,Sandy,Alluvial",Medium,90-110 days,18,22,"Western UP,Bundelkhand"
Tomato,टमाटर,Year-round,6.0,7.0,100,150,80,120,100,150,"Loamy,Sandy",High,90-120 days,300,400,"Western UP,Central UP,Eastern UP"
Onion,प्याज,Rabi,6.0,7.0,100,120,50,80,50,80,"Loamy,Sandy,Alluvial",Medium,120-150 days,250,300,"Western UP,Central UP"
Cabbage,पत्ता गोभी,Rabi,6.0,7.0,120,150,80,100,100,120,"Loamy,Clay",High,90-120 days,300,400,"Western UP,Central UP"
Cauliflower,फूल गोभी,Rabi,6.0,7.0,120,150,80,100,100,120,"Loamy,Clay",High,90-120 days,250,350,"Western UP,Central UP"
Pea,मटर,Rabi,6.0,7.0,20,30,50,70,40,60,"Loamy,Sandy",Medium,90-110 days,80,100,"Western UP,Central UP"
Mango,आम,Perennial,6.0,7.5,50,100,30,60,50,100,"Loamy,Alluvial",Medium,Perennial,100,150,"Eastern UP,Central UP,Western UP"
